beta_deg,theta_deg,range_mm
0.0,53.24,1374.2
0.0,53.952,1360.2
0.0,54.662,1349.2
0.0,55.371,1339.2
0.0,56.081,1328.2
0.0,56.791,1317.2
0.0,57.5,1307.2
0.0,58.21,1296.2
0.0,58.919,1287.2
0.0,59.629,1277.2
0.0,60.338,1269.2
0.0,61.046,1261.2
0.0,61.755,1252.2
0.0,62.48,1245.2
0.0,63.188,1237.2
0.0,63.897,1229.2
0.0,64.606,1221.2
0.0,65.313,1215.2
0.0,66.021,1209.2
0.0,66.729,1202.2
0.0,67.436,1197.2
0.0,68.143,1191.2
0.0,68.851,1185.2
0.0,69.558,1179.2
0.0,70.265,1174.2
0.0,70.971,1170.2
0.0,71.678,1165.2
0.0,72.386,1159.2
0.0,73.091,1156.2
0.0,73.797,1152.2
0.0,74.502,1149.2
0.0,75.209,1144.2
0.0,75.903,1153.2
0.0,76.62,1137.2
0.0,77.324,1135.2
0.0,78.03,1131.2
0.0,78.736,1128.2
0.0,79.439,1127.2
0.0,80.145,1123.2
0.0,80.848,1122.2
0.0,81.554,1119.2
0.0,82.259,1116.2
0.0,82.962,1115.2
0.0,83.666,1114.2
0.0,84.37,1112.2
0.0,85.072,1112.2
0.0,85.776,1111.2
0.0,86.478,1111.2
0.0,87.182,1109.2
0.0,87.884,1110.2
0.0,88.587,1109.2
0.0,89.289,1109.2
0.0,89.992,1109.2
0.0,90.71,1109.2
0.0,91.415,1110.2
0.0,92.12,1110.2
0.0,92.825,1111.2
0.0,93.529,1112.2
0.0,94.234,1113.2
0.0,94.939,1113.2
0.0,95.644,1114.2
0.0,96.348,1116.2
0.0,97.051,1118.2
0.0,97.755,1120.2
0.0,98.458,1122.2
0.0,99.162,1124.2
0.0,99.864,1127.2
0.0,100.568,1129.2
0.0,101.271,1132.2
0.0,101.973,1135.2
0.0,102.675,1139.2
0.0,103.379,1141.2
0.0,104.081,1144.2
0.0,104.782,1149.2
0.0,105.485,1152.2
0.0,106.187,1156.2
0.0,106.888,1161.2
0.0,107.589,1166.2
0.0,108.291,1170.2
0.0,108.992,1175.2
0.0,109.693,1180.2
0.0,110.393,1186.2
0.0,111.094,1191.2
0.0,111.794,1198.2
0.0,112.494,1204.2
0.0,113.194,1211.2
0.0,113.895,1216.2
0.0,114.595,1223.2
0.0,115.295,1230.2
0.0,115.994,1238.2
0.0,116.693,1246.2
0.0,117.392,1254.2
0.0,118.09,1264.2
0.0,118.802,1273.2
0.0,119.497,1282.2
0.0,120.194,1289.2
0.0,120.889,1299.2
0.0,121.584,1310.2
0.0,122.278,1321.2
0.0,122.974,1331.2
0.0,123.668,1343.2
0.0,124.363,1354.2
0.0,125.056,1367.2
0.0,125.751,1378.2
0.0,126.445,1391.2
0.0,127.14,1404.2
0.0,127.833,1419.2
0.0,128.527,1432.2
0.0,129.221,1446.2
0.0,129.915,1461.2
0.0,130.607,1478.2
0.0,131.302,1492.2
0.0,131.994,1511.2
0.0,132.687,1529.2
0.0,133.38,1546.2
0.0,134.073,1565.2
0.0,134.765,1585.2
0.0,135.458,1604.2
0.0,136.15,1626.2
0.0,136.844,1645.2
0.0,137.535,1669.2
